dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-06,Brand N,691833,11884.97174,8212.680000000008,9829,0.0,0,0.0,0,0.0,0,19.090000000000003,14,3653.201739999993,681990,29717.83,5364
2022-09-06,Brand R,811783,8133.876419999989,557.0799999999998,239,0.0,0,0.0,0,0.0,0,0.0,0,7576.796419999989,811544,15185.54,1292
2022-09-07,Brand C,1963689,24911.077260000027,0.0,0,0.0,0,771.7193800000003,49373,16208.379900000018,334932,0.0,0,7930.977980000009,1579384,13992.84,3677
2022-09-07,Brand G,1796780,19859.426609999988,7728.789999999997,3177,0.0,0,0.0,0,3076.3861500000016,119462,0.0,0,9054.250459999988,1674141,29900.61,3920
2022-09-07,Brand LA,720263,4565.123479999996,0.0,0,0.0,0,248.2953799999997,24247,0.0,0,0.0,0,4316.828099999996,696016,1824.59,594
2022-09-07,Brand LO,3881415,38436.64365000008,20761.020000000048,11818,0.0,0,0.0,0,0.0,0,0.0,0,17675.62365000003,3869597,89653.85,11117
2022-09-07,Brand M,2281664,30714.355190000013,17414.389999999992,14909,0.0,0,0.0,0,0.0,0,0.0,0,13299.96519000002,2266755,43277.11,8625
2022-09-07,Brand N,703003,13761.937319999994,9993.899999999998,11243,0.0,0,0.0,0,0.0,0,19.25,15,3748.787319999996,691745,31643.15,5663
2022-09-07,Brand R,874050,8429.194690000018,482.6199999999999,216,0.0,0,0.0,0,0.0,0,0.0,0,7946.574690000018,873834,12342.74,1255
2022-09-08,Brand C,1626998,18425.209679999978,0.0,0,0.0,0,594.8854999999998,34582,11084.41944999999,262372,0.0,0,6745.904729999988,1330044,13533.5,3718
2022-09-08,Brand G,1563623,18174.487619999985,7590.669999999993,3083,0.0,0,0.0,0,2271.141049999997,85452,0.0,0,8312.676569999994,1475088,30598.32,3894
2022-09-08,Brand LA,807420,4003.5641500000015,0.0,0,0.0,0,161.89572999999976,18235,0.0,0,0.0,0,3841.668420000002,789185,1983.46,612
2022-09-08,Brand LO,3786221,29102.66007999998,12389.639999999994,7227,0.0,0,0.0,0,0.0,0,0.0,0,16713.020079999984,3778994,78158.09,9903
2022-09-08,Brand M,2052336,29067.265549999996,16551.159999999978,14408,0.0,0,0.0,0,0.0,0,0.0,0,12516.105550000018,2037928,43633.08,8743
2022-09-08,Brand N,856841,13700.958849999999,10095.25,11834,0.0,0,0.0,0,0.0,0,10.919999999999998,7,3594.7888499999985,845000,32959.31,5671
2022-09-08,Brand R,830614,7419.278369999973,422.25999999999993,197,0.0,0,0.0,0,0.0,0,0.0,0,6997.0183699999725,830417,14663.51,1206
2022-09-09,Brand C,1789627,25547.73852000002,0.0,0,0.0,0,929.5539800000024,47177,16343.369500000015,319135,0.0,0,8274.815040000005,1423315,12629.46,3808
