brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12812695,258842.71645642986,84169.84000000003,57598,18334.57000000001,87186,21976.90814332992,880128,41201.74754999992,1391881,0.0,0,93159.65076309997,10395902,358164.74,51842
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12481679,251421.12694394996,83969.30000000013,55886,17581.65999999999,80238,19296.12818726993,798925,40344.01044999995,1361698,9.9,4,90220.12830667995,10184928,346474.37,50631
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12629134,280027.0515357,84943.11000000004,54356,17932.690000000006,72274,34082.52658998995,1014848,49212.296800000004,1525508,4.43,3,93851.99814571,9962145,350979.53,50778
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13399418,321084.7381116297,86447.38,54390,17507.739999999983,73259,47520.87500730979,1229658,69656.76394999986,1992920,5.43,2,99946.54915432002,10049189,335132.35,48549
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13252948,323538.30589927966,91359.34999999999,58195,18964.749999999985,80755,59213.46812043985,1426641,57624.18424999989,1766237,4.22,2,96372.3335288399,9921118,358000.49,51560
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13621684,306583.95864556986,87222.66000000005,56830,17110.940000000017,73121,57097.06990922984,1394095,48918.072128829954,1547229,0.0,0,96235.21660751001,10550409,374748.28,54489
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13430649,307205.5096422098,90588.16000000006,58210,19332.600000000002,83633,47729.62710388991,1252051,49147.58355600991,1565057,0.0,0,100407.53898230991,10471698,369601.43,53626
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12918365,274838.68649641983,75786.6,47859,19585.709999999995,79664,41847.24940670987,1138977,43002.98811045995,1394456,0.0,0,94616.13897925001,10257409,375025.8,54237
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12887958,232484.5999745297,32526.089999999997,18312,19134.589999999993,76894,42733.515063489845,1135140,44590.761680309944,1441721,4.78,2,93494.86323072994,10215889,360668.45,53727
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13926181,316155.1982062295,101134.12999999979,54231,20146.229999999985,76615,43069.61715873987,1130065,45937.74764999991,1461823,0.0,0,105867.47339748993,11203447,363365.82999999996,53424
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13848377,327425.9053590299,93354.71000000002,56638,20645.55,74852,49306.487710839865,1208266,49581.44949999997,1536359,0.0,0,114537.70814819002,10972262,355633.42,50788
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13725298,329643.2615324198,94848.31999999998,58559,19653.539999999997,76549,51125.34293763992,1253537,49533.975749999925,1451010,0.0,0,114482.08284478,10885643,355398.87,50978
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14614647,331989.47194111993,104344.60000000012,59192,21373.959999999995,83871,45785.59858955984,1212050,45546.89574999995,1432778,0.0,0,114938.41760156002,11826756,406437.63,59044
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14697374,345272.5821376498,96257.80999999994,59359,20326.470000000012,84452,39724.63070262993,1080602,76701.80404999983,1876802,3.29,2,112258.57738502014,11596157,395163.76,58501
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14762373,357457.8225131496,93859.51999999996,59889,20434.469999999983,84401,35624.0166472499,943183,96146.37229999974,2171180,0.0,0,111393.44356590003,11503720,394689.18000000005,58682
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,15437425,342453.14230639976,88448.85999999997,58488,19354.790000000005,102294,30408.23288632993,864560,85788.71920999986,2067120,4.43,2,118448.11021006998,12344961,393888.60000000003,58145
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,15191546,347546.6650865396,87853.87999999998,58369,20443.719999999987,118737,40294.978868779835,981813,75407.26205893981,1851081,11.18,4,123535.64415881995,12181542,388664.43,58614
